Name,Website,Industry,Country,Funding Amount (USD),Funding Type,Last Funding Date,Is_Undisclosed,Month,Month_Num,Primary Industry,Industry_Count,Stage_Group
Articulus Surgical,articulussurgical.com,"Robotics, Healthcare, Hardware",India,0.0,Seed,2026-02-01,True,Feb-2026,2,Robotics,3,Early Stage
Heliware,heliware.co.in,"Analytics, 3D, Artificial Intelligence, B2B Software, Cloud Computing, Data",India,496736.0,Venture - Series Unknown,2026-02-01,False,Feb-2026,2,Analytics,6,Other/Unknown
BigHaat,bighaat.com,"Agriculture, E-commerce, Marketplace",India,10000000.0,Series D,2026-02-01,False,Feb-2026,2,Agriculture,3,Late Stage
CleanMax,cleanmax.com,"Energy, Environment",India,165434178.0,Private Equity,2026-02-01,False,Feb-2026,2,Energy,2,Private Equity
Enhancio,enhancio.com,"Marketing, B2B Software, Sales",India,1090000.0,Convertible Note,2026-02-01,False,Feb-2026,2,Marketing,3,Other/Unknown
Care.Fi,carefi.in,"FinTech, Finance, Healthcare",India,5000000.0,Series A,2026-02-01,False,Feb-2026,2,FinTech,3,Growth Stage
Immersive Trails,immersivetrails.com,"Travel, Environment, Marketplace, Recreation",India,0.0,Seed,2026-02-01,True,Feb-2026,2,Travel,4,Early Stage
Showroom B2B,showroomb2b.com,"Fashion, Artificial Intelligence, B2B Software, Logistics, Marketplace, Retail",India,16562234.0,Series A,2026-02-01,False,Feb-2026,2,Fashion,6,Growth Stage
Timbuckdo Innovations,timbuckdo.com,"Marketplace, E-commerce, Recruiting, Social Network",India,298120.0,Seed,2026-02-01,False,Feb-2026,2,Marketplace,4,Early Stage
Radiance Renewables,radiancerenewables.com,"Energy, Construction, Environment, Utilities",India,100000000.0,Private Equity,2026-02-01,False,Feb-2026,2,Energy,4,Private Equity
Preventify,preventify.me,"Healthcare, Wellness",India,220579.0,Pre-Seed,2026-02-01,False,Feb-2026,2,Healthcare,2,Early Stage
Elevate Now,joinelevatenow.com,"Healthcare, Wellness, Nutrition and Supplements",India,1985210.0,Seed,2026-02-01,False,Feb-2026,2,Healthcare,3,Early Stage
IndiGrid Technology,indigridtechnology.com,"EV, Automotive, Electronics, Energy, Hardware, Manufacturing",India,4415430.0,Series A,2026-02-01,False,Feb-2026,2,EV,6,Growth Stage
Six Sense Mobility,sixsensemobility.com,"Automotive, B2B Software, Cloud Computing, Electronics, Hardware, Telecommunications",India,4850004.0,Seed,2026-02-01,False,Feb-2026,2,Automotive,6,Early Stage
Padcare Labs,padcarelabs.com,"Consumer Goods,Environment,Manufacturing,Wellness",India,3000000.0,Seed,2026-02-01,False,Feb-2026,2,Consumer Goods,4,Early Stage
Olyv,olyv.co.in,"FinTech, Finance, Mobile",India,22829917.0,Series C,2026-02-01,False,Feb-2026,2,FinTech,3,Growth Stage
Knight FinTech,knightfintech.com,"FinTech, Finance, B2B Software",India,23600000.0,Series A,2026-01-01,False,Jan-2026,1,FinTech,3,Growth Stage
Arya Collateral,arya.ag,"Agriculture, Finance, Logistics, Marketplace",India,80584611.0,Series D,2026-01-01,False,Jan-2026,1,Agriculture,4,Late Stage
Neemans,neemans.com,"Fashion, Consumer Goods, E-commerce, Manufacturing, Retail",India,3948812.0,Series B,2026-01-01,False,Jan-2026,1,Fashion,5,Growth Stage
Truva,truva.in,"Real Estate, Marketplace",India,6301370.0,Series A,2026-01-01,False,Jan-2026,1,Real Estate,2,Growth Stage
Mylapay,mylapay.com,"FinTech, Finance, B2B Software, Cloud Computing, Cyber Security",India,1000000.0,Venture - Series Unknown,2026-01-01,False,Jan-2026,1,FinTech,5,Other/Unknown
Asego Global Assistance,asego.in,"Insurance, Travel",India,19390633.0,Private Equity,2026-01-01,False,Jan-2026,1,Insurance,2,Private Equity
ROADGRID,roadgridindia.com,"EV, Automotive, Energy, Hardware, Mobile",India,1334793.0,Seed,2026-01-01,False,Jan-2026,1,EV,5,Early Stage
PumPumPum,pumpumpum.com,"Automotive, Transportation",India,194657.0,Seed,2026-01-01,False,Jan-2026,1,Automotive,2,Early Stage
KayEss Square Consulting,kayesssquare.com,"Professional Services, Finance, Legal",India,1110116.0,Seed,2026-01-01,False,Jan-2026,1,Professional Services,3,Early Stage
EMoMee,emomee.com,"Education, Entertainment, Family, Personal Development",India,222461.0,Seed,2026-01-01,False,Jan-2026,1,Education,4,Early Stage
Arrowhead,arrowhead.team,"B2B Software, Artificial Intelligence, Sales",India,3000000.0,Seed,2026-01-01,False,Jan-2026,1,B2B Software,3,Early Stage
OSSO,osso.care,Healthcare,India,443214.0,Seed,2026-01-01,False,Jan-2026,1,Healthcare,1,Early Stage
Be Clinical,be-clinical.com,"Beauty, Consumer Goods",India,667397.0,Seed,2026-01-01,False,Jan-2026,1,Beauty,2,Early Stage
Even,even.in,Healthcare,India,20000000.0,Series A,2026-01-01,False,Jan-2026,1,Healthcare,1,Growth Stage
SaveSage Club,savesage.club,"FinTech, Finance, B2C Software, Mobile",India,444888.0,Pre-Seed,2026-01-01,False,Jan-2026,1,FinTech,4,Early Stage
&Done,anddonehair.com,"Beauty, Consumer Goods, E-commerce, Retail",India,3000000.0,Series A,2026-01-01,False,Jan-2026,1,Beauty,4,Growth Stage
GOAT Life,thegooat.com,"Food and Beverage, Consumer Goods, Wellness",India,177619.0,Pre-Seed,2026-01-01,False,Jan-2026,1,Food and Beverage,3,Early Stage
Spector.ai,spector.ai,"Artificial Intelligence, B2B Software, Data, Manufacturing",India,6450870.0,Venture - Series Unknown,2026-01-01,False,Jan-2026,1,Artificial Intelligence,4,Other/Unknown
Multibagg AI,multibagg.ai,"Investing, Finance, Artificial Intelligence, Analytics, Data",India,166205.0,Pre-Seed,2026-01-01,False,Jan-2026,1,Investing,5,Early Stage
TakeMe2Space,tm2.space,"Aerospace, Hardware",India,5000000.0,Seed,2026-01-01,False,Jan-2026,1,Aerospace,2,Early Stage
Japam,japam.in,"E-commerce, Consumer Goods, Retail",India,165410.0,Seed,2026-01-01,False,Jan-2026,1,E-commerce,3,Early Stage
Aule Space,aule.space,"Aerospace, Hardware, Robotics",India,2000000.0,Pre-Seed,2026-01-01,False,Jan-2026,1,Aerospace,3,Early Stage
Smylo,getsmylo.com,"Pets, Consumer Goods, E-commerce, Food and Beverage, Retail",India,83012.0,Seed,2026-01-01,False,Jan-2026,1,Pets,5,Early Stage
Misochain Technologies,misochain.in,"Aerospace, Aviation, Government, Hardware, Manufacturing",India,1994784.0,Seed,2026-01-01,False,Jan-2026,1,Aerospace,5,Early Stage
Liquidnitro Games,liquidnitro.games,"Gaming, Entertainment",India,19100000.0,Series A,2026-01-01,False,Jan-2026,1,Gaming,2,Growth Stage
LearnTube,learntube.ai,Education,India,0.0,Seed,2026-01-01,True,Jan-2026,1,Education,1,Early Stage
Atomgrid,atomgrid.in,"Chemicals, Agriculture, Beauty, Food and Beverage, Manufacturing, Pharmaceuticals",India,7000000.0,Seed,2026-01-01,False,Jan-2026,1,Chemicals,6,Early Stage
Edgistify,edgistify.com,"Logistics, Artificial Intelligence, B2B Software, E-commerce",India,1400000.0,Seed,2026-01-01,False,Jan-2026,1,Logistics,4,Early Stage
Secret Alchemist,secretalchemist.com,"Wellness, Beauty, Consumer Goods, E-commerce",India,2500000.0,Seed,2026-01-01,False,Jan-2026,1,Wellness,4,Early Stage
GrowthPal,growthpal.com,"B2B Software, Finance, Investing",India,2600000.0,Venture - Series Unknown,2026-01-01,False,Jan-2026,1,B2B Software,3,Other/Unknown
HandyPanda,handypanda.in,"Marketplace, Construction, E-commerce, Materials, Retail",India,221366.0,Pre-Seed,2026-01-01,False,Jan-2026,1,Marketplace,5,Early Stage
